1,2,3,trial_num,map,A,B,C,unique_id,wrong_attempts
0.99,0.03,-1,15,DX_NX_0,0.77,0.01,0.8,Z5zyUlb,1
0.74,0.72,-1,16,UN_DX_0,0.03,0.02,0.97,Z5zyUlb,1
-1,-1,-1,17,ND_PX_0,0.82,0.01,0.15,Z5zyUlb,1
0.76,0,-1,18,DX_DX_0,0.02,0.03,0.95,Z5zyUlb,1
0.01,0.86,0.84,19,NX_NX_0,0.02,0.04,0.95,Z5zyUlb,1
0.72,0.71,-1,20,UN_NX_0,0.02,0.71,0.72,Z5zyUlb,1
-1,-1,-1,21,ND_PX_1,0.79,0.81,0,Z5zyUlb,1
0.78,0.78,0.05,22,PX_NX_0,0.66,0.64,0.01,Z5zyUlb,1
0.03,0.98,-1,23,DX_PX_0,0.68,0.65,0.02,Z5zyUlb,1
0,0.77,0.56,1,NX_NX_0,0.51,0,0.5,MIlnHEi,0
0.47,0.48,-1,2,DX_PX_0,0.48,0.49,0.13,MIlnHEi,0
0.49,0.49,-1,3,UN_UN_0,0.31,0.32,0.49,MIlnHEi,0
0.98,0,0,4,PX_UN_0,0.59,0,0.49,MIlnHEi,0
0.99,0,-1,5,DX_DX_0,0,0,1,MIlnHEi,0
1,0,-1,6,DX_NX_0,0.56,0,0.55,MIlnHEi,0
0.6,0.54,0,7,NX_DX_0,0,0,1,MIlnHEi,0
-1,-1,-1,8,ND_PX_0,1,0,0,MIlnHEi,0
-1,-1,-1,9,ND_UN_0,0.39,0.13,0.51,MIlnHEi,0
-1,-1,-1,10,ND_DX_0,1,0,0,MIlnHEi,0
0.5,0.64,0,11,NX_UN_0,0.51,0.69,0.11,MIlnHEi,0
0.98,0,-1,12,UN_DX_0,0,0,1,MIlnHEi,0
-1,-1,-1,13,ND_NX_0,0.49,0,0.49,MIlnHEi,0
-1,-1,-1,14,ND_PX_1,0.25,0.99,0,MIlnHEi,0
0.99,0,-1,15,DX_UN_0,0.19,0.49,0.6,MIlnHEi,0
0.49,0.51,-1,16,UN_PX_0,0.58,0,0.65,MIlnHEi,0
0.75,0.44,0,17,PX_NX_0,0.56,0.69,0.46,MIlnHEi,0
0.54,0.4,0,18,PX_PX_0,0,0,1,MIlnHEi,0
0.46,0.45,-1,19,UN_NX_0,0,0.58,0.54,MIlnHEi,0
-1,-1,-1,20,ND_NX_1,0.58,0,0.14,MIlnHEi,0
-1,-1,-1,21,ND_DX_1,0.98,0,0,MIlnHEi,0
0.58,0.51,0.02,22,NX_PX_0,0,0,0.99,MIlnHEi,0
0.03,0.03,0.98,23,PX_DX_0,0,0,0.99,MIlnHEi,0
0.77,0.32,-1,1,UN_UN_0,0.2,0.52,0.68,DPeOAnU,2
-1,-1,-1,2,ND_PX_1,0.83,0.48,0.11,DPeOAnU,2
0.94,0.14,-1,3,DX_UN_0,0.53,0.73,0.24,DPeOAnU,2
-1,-1,-1,4,ND_DX_0,0.76,0.43,0.31,DPeOAnU,2
0.58,0.3,0.86,5,NX_PX_0,0.84,0.07,0.58,DPeOAnU,2
-1,-1,-1,6,ND_UN_0,0.55,0.13,0.73,DPeOAnU,2
0.37,0.66,-1,7,UN_DX_0,0.09,0.21,0.85,DPeOAnU,2
0.73,0.53,0.21,8,PX_NX_0,0.69,0.54,0.06,DPeOAnU,2
0.54,0.34,-1,9,DX_NX_0,0.22,0.33,0.66,DPeOAnU,2
-1,-1,-1,10,ND_DX_1,0.52,0.84,0.22,DPeOAnU,2
-1,-1,-1,11,ND_NX_0,0.76,0.05,0.56,DPeOAnU,2
0.41,0.86,-1,12,DX_DX_0,0.26,0.16,0.86,DPeOAnU,2
0.27,0.82,-1,13,DX_PX_0,0.43,0.91,0.01,DPeOAnU,2
0.03,0.38,0.9,14,PX_PX_0,0.37,0.06,0.89,DPeOAnU,2
0.46,0.46,-1,15,UN_NX_0,0.12,0.58,0.65,DPeOAnU,2
-1,-1,-1,16,ND_PX_0,0.86,0.43,0.14,DPeOAnU,2
