MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21,Obs22
11,11,59,6.392472837663716e-05,2,2,0,2,2,0,0,3,3,0,3,2,2,1,2,1,1,3,3,1,3,3,3
11,11,59,0.0005113978270130972,2,2,2,0,2,0,0,2,2,0,2,3,3,3,1,1,1,1,3,3,3,3,3
11,11,59,0.0006392472837663715,2,0,2,2,2,0,0,2,2,0,2,3,3,3,1,1,1,3,1,3,3,3,3
11,11,59,0.0007670967405196458,2,2,0,2,2,0,0,3,0,3,3,2,2,2,1,1,1,1,3,3,3,3,3
11,11,59,0.02298093985140138,2,0,2,2,2,0,0,0,2,2,2,1,3,3,3,1,1,1,3,3,3,3,3
11,11,59,0.006008924467403892,2,0,2,2,2,0,0,0,3,3,3,1,2,2,2,1,1,3,1,3,3,3,3
11,11,59,0.000607284919578053,2,2,2,2,0,0,0,0,2,2,2,3,3,1,3,1,1,3,1,3,3,3,3
11,11,59,0.0002556989135065486,2,2,2,2,0,0,0,3,3,0,3,1,2,2,2,1,1,3,1,3,3,3,3
11,11,59,0.0007670967405196458,2,2,2,0,2,0,0,0,3,3,3,2,2,2,1,1,1,1,3,3,3,3,3
11,11,59,0.00035158600607150433,2,0,2,2,2,0,0,3,0,3,3,2,2,1,2,1,1,3,3,1,3,3,3
11,11,59,0.001438306388474336,2,2,0,2,2,0,0,0,2,2,2,3,1,3,3,1,1,3,3,1,3,3,3
11,11,59,0.0001278494567532743,2,2,0,2,2,0,0,3,3,3,0,2,1,2,2,1,1,3,3,1,3,3,3
11,11,59,0.0032601611472084947,2,0,2,2,2,0,0,2,0,2,2,1,3,3,3,1,1,3,3,3,1,3,3
11,11,59,0.0015981182094159288,2,2,2,0,2,0,0,0,3,3,3,2,1,2,2,1,1,1,3,3,3,3,3
11,11,59,0.00022373654931823002,2,0,2,2,2,0,0,2,2,2,0,3,3,3,1,1,1,3,3,1,3,3,3
11,11,59,3.196236418831858e-05,2,2,2,2,0,0,0,3,0,3,3,2,2,2,1,1,1,3,3,1,3,3,3
11,11,59,3.196236418831858e-05,2,2,2,2,0,0,0,3,3,0,3,2,2,1,2,1,1,3,3,3,1,3,3
11,11,59,0.0010227956540261945,2,2,0,2,2,0,0,2,0,2,2,3,1,3,3,1,1,3,3,3,1,3,3
11,11,59,0.0002556989135065486,2,2,0,2,2,0,0,0,3,3,3,2,2,2,1,1,1,3,3,1,3,3,3
11,11,59,0.0004155107344481415,2,2,2,2,0,0,0,3,0,3,3,1,2,2,2,1,1,3,3,1,3,3,3
11,11,59,0.0006392472837663715,2,2,0,2,2,0,0,3,0,3,3,1,2,2,2,1,1,3,3,1,3,3,3
11,11,59,0.00044747309863646005,2,2,0,2,2,0,0,2,2,0,2,3,3,1,3,1,1,3,1,3,3,3,3
11,11,59,0.0005113978270130972,2,2,2,2,0,0,0,3,3,3,0,2,1,2,2,1,1,1,3,3,3,3,3
11,11,59,3.196236418831858e-05,2,2,2,0,2,0,0,3,3,0,3,2,2,1,2,1,1,3,3,3,1,3,3
11,11,59,0.0005433601912014158,2,2,2,0,2,0,0,0,2,2,2,3,3,3,1,1,1,3,3,3,1,3,3
11,11,59,0.0032921235113968134,2,0,2,2,2,0,0,2,0,2,2,3,3,3,1,1,1,1,3,3,3,3,3
11,11,59,0.0013743816600976988,2,2,0,2,2,0,0,0,3,3,3,2,2,2,1,1,1,1,3,3,3,3,3
11,11,59,0.000831021468896283,2,0,2,2,2,0,0,3,3,3,0,1,2,2,2,1,1,3,3,1,3,3,3
11,11,59,0.0009588709256495572,2,0,2,2,2,0,0,0,3,3,3,2,2,2,1,1,1,3,3,3,1,3,3
11,11,59,0.0013424192959093802,2,2,0,2,2,0,0,2,0,2,2,3,1,3,3,1,1,3,1,3,3,3,3
11,11,59,0.010227956540261944,0,0,0,0,0,0,3,3,3,0,2,1,2,2,1,1,1,1,1,1,1
11,11,59,0.0005113978270130972,2,2,2,0,2,0,0,2,2,0,2,1,3,3,3,1,1,3,3,3,1,3,3
11,11,59,0.0001278494567532743,2,2,2,2,0,0,0,2,2,2,0,3,1,3,3,1,1,3,3,3,1,3,3
11,11,59,0.0001278494567532743,2,2,2,0,2,0,0,3,0,3,3,2,2,2,1,1,1,3,3,1,3,3,3
11,11,59,0.00015981182094159288,2,2,0,2,2,0,0,3,3,0,3,2,2,2,1,1,1,3,1,3,3,3,3
11,11,59,9.588709256495573e-05,2,2,0,2,2,0,0,3,3,3,0,2,2,2,1,1,1,3,3,3,1,3,3
11,11,59,0.0007990591047079644,2,2,2,2,0,0,0,3,3,3,0,1,2,2,2,1,1,1,3,3,3,3,3
11,11,59,6.392472837663716e-05,2,2,2,2,0,0,0,3,3,0,3,2,2,1,2,1,1,3,1,3,3,3,3
11,11,59,0.0002876612776948672,2,2,0,2,2,0,0,2,2,2,0,3,3,3,1,1,1,3,1,3,3,3,3
11,11,59,0.0008949461972729201,2,2,2,0,2,0,0,0,2,2,2,3,3,3,1,1,1,3,1,3,3,3,3
11,11,59,0.0016940053019808845,2,2,0,2,2,0,0,0,2,2,2,3,1,3,3,1,1,3,3,3,1,3,3
11,11,59,0.0007351343763313272,2,0,2,2,2,0,0,3,0,3,3,2,2,1,2,1,1,3,1,3,3,3,3
11,11,59,0.0007990591047079644,2,2,2,2,0,0,0,0,3,3,3,1,2,2,2,1,1,3,3,1,3,3,3
11,11,59,6.392472837663716e-05,2,2,2,2,0,0,0,3,0,3,3,2,2,1,2,1,1,3,3,1,3,3,3
11,11,59,0.0007670967405196458,2,2,2,2,0,0,0,2,0,2,2,1,3,3,3,1,1,3,3,3,1,3,3
11,11,59,0.00022373654931823002,2,2,0,2,2,0,0,2,2,2,0,3,3,3,1,1,1,3,3,1,3,3,3
11,11,59,0.0005113978270130972,2,0,2,2,2,0,0,2,2,0,2,3,1,3,3,1,1,3,3,1,3,3,3
11,11,59,0.00035158600607150433,2,2,0,2,2,0,0,0,3,3,3,2,2,2,1,1,1,3,3,3,1,3,3
11,11,59,0.0015981182094159288,2,2,2,0,2,0,0,0,2,2,2,1,3,3,3,1,1,3,3,1,3,3,3
11,11,59,0.0002556989135065486,2,0,2,2,2,0,0,3,3,3,0,2,2,1,2,1,1,3,1,3,3,3,3
11,11,59,0.0033560482397734506,2,2,2,2,0,0,0,0,3,3,3,1,2,2,2,1,1,1,3,3,3,3,3
11,11,59,0.0008949461972729201,2,0,2,2,2,0,0,2,2,2,0,3,3,1,3,1,1,3,1,3,3,3,3
11,11,59,0.0008829603107023004,0,0,0,0,0,0,2,2,2,0,1,1,1,3,1,1,1,3,3,1,1
11,11,59,0.0006712096479546901,2,0,2,2,2,0,0,0,3,3,3,2,2,2,1,1,1,3,3,1,3,3,3
11,11,59,0.0008629838330846015,2,2,0,2,2,0,0,2,2,2,0,3,3,3,1,1,1,1,3,3,3,3,3
11,11,59,0.0029085751411369906,2,0,2,2,2,0,0,2,2,0,2,3,1,3,3,1,1,1,3,3,3,3,3
11,11,59,0.0001278494567532743,2,2,2,0,2,0,0,3,3,3,0,2,1,2,2,1,1,3,3,3,1,3,3
11,11,59,0.0007670967405196458,2,2,2,0,2,0,0,0,3,3,3,2,1,2,2,1,1,3,1,3,3,3,3
11,11,59,0.00022373654931823002,2,2,0,2,2,0,0,3,3,0,3,2,1,2,2,1,1,3,3,3,1,3,3
11,11,59,0.00039933777816885237,0,0,0,0,0,0,2,0,2,2,1,1,1,1,1,3,1,3,3,1,1
11,11,59,0.0015661558452276102,2,0,2,2,2,0,0,0,3,3,3,2,2,1,2,1,1,3,1,3,3,3,3
11,11,59,0.0007990591047079644,2,0,2,2,2,0,0,3,0,3,3,2,2,2,1,1,1,3,1,3,3,3,3
