MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21
11,11,70,0.0007633791280029259,16,27,38,49,60,71,70,81,80,91,90,79,68,69,70,71,60,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,37,48,59,70,81,80,91,90,91,80,69,58,47,36,25,26,27,16,5
11,11,70,0.0011099290178582222,16,27,38,49,60,59,70,69,80,79,90,91,92,81,70,71,60,49,38,27,16,5
11,11,70,0.0007633791280029259,16,27,38,49,48,59,70,81,80,79,90,79,80,69,70,59,48,37,38,27,16,5
11,11,70,0.0010905416114327512,16,27,38,49,60,71,70,81,80,79,90,91,80,69,70,71,60,49,38,27,16,5
11,11,70,0.004766878554862714,16,27,38,49,60,59,70,81,92,91,90,91,80,81,82,71,60,49,38,27,16,5
11,11,70,0.0003707841478871354,16,27,38,49,60,71,70,81,80,79,90,79,80,69,58,59,48,37,26,27,16,5
11,11,70,0.00036109044467439984,16,27,26,37,48,59,70,81,80,91,90,91,92,81,70,59,48,37,26,27,16,5
11,11,70,0.0007197574635456159,16,27,38,49,60,71,70,81,80,79,90,79,80,69,70,71,60,49,38,27,16,5
11,11,70,0.00038774812850942266,16,27,26,37,48,59,70,69,80,79,90,91,80,81,70,59,60,49,38,27,16,5
11,11,70,0.0003707841478871354,16,27,26,37,48,59,70,81,80,91,90,79,68,57,46,47,36,25,26,27,16,5
11,11,70,0.0003635138704775837,16,27,26,37,48,59,70,81,92,91,90,91,80,69,58,47,48,37,26,27,16,5
11,11,70,0.0003707841478871354,16,27,38,49,60,71,70,81,80,79,90,91,92,81,70,71,60,49,38,27,16,5
11,11,70,0.0007197574635456158,16,27,38,49,60,59,70,81,92,91,90,79,68,57,46,47,36,37,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,37,48,59,70,81,80,79,90,91,92,81,70,59,48,37,38,27,16,5
11,11,70,0.0006809826506946735,16,27,38,37,48,59,70,69,68,79,90,79,80,69,58,47,48,49,38,27,16,5
11,11,70,0.00037563099949350316,16,27,38,49,60,71,70,81,80,91,90,91,80,81,70,71,60,49,38,27,16,5
11,11,70,0.0014782897399421738,16,27,38,49,48,59,70,81,80,79,90,91,92,93,82,71,60,49,38,27,16,5
11,11,70,0.00039986525752534215,16,27,38,37,48,59,70,69,80,91,90,79,68,57,46,35,24,25,26,27,16,5
11,11,70,0.00037563099949350316,16,27,38,49,48,59,70,69,80,79,90,91,80,69,58,59,48,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,59,70,69,68,79,90,79,80,69,58,47,48,49,38,27,16,5
11,11,70,0.0014685960367294382,16,27,38,49,60,71,70,69,80,79,90,91,92,81,70,59,60,49,38,27,16,5
11,11,70,0.0003707841478871354,16,27,26,37,48,59,70,69,68,79,90,79,68,57,46,47,48,37,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,59,70,69,80,91,90,79,68,69,70,59,48,49,38,27,16,5
11,11,70,0.0007294511667583514,16,27,38,37,48,59,70,69,68,79,90,79,68,57,58,59,48,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,59,70,81,80,91,90,79,68,57,46,47,48,49,38,27,16,5
11,11,70,0.0007318745925615353,16,27,38,49,60,71,70,69,80,91,90,79,68,57,46,35,24,25,26,27,16,5
11,11,70,0.00039501840591897434,16,27,38,49,48,59,70,81,92,91,90,79,68,57,46,47,48,37,26,27,16,5
11,11,70,0.0010566136501881766,16,27,26,37,48,59,70,69,68,79,90,91,92,81,70,59,60,49,38,27,16,5
11,11,70,0.00035866701887121596,16,27,38,49,60,71,70,69,68,79,90,79,68,69,58,59,48,37,26,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,48,59,70,69,68,79,90,79,68,69,58,47,36,25,26,27,16,5
11,11,70,0.0007076403345296963,16,27,38,49,60,59,70,69,80,79,90,79,80,81,70,71,60,49,38,27,16,5
11,11,70,0.0007997305150506843,16,27,38,49,60,71,70,81,80,79,90,79,68,69,58,59,48,49,38,27,16,5
11,11,70,0.0011244695726773256,16,27,38,49,60,59,70,69,68,79,90,79,80,81,70,59,60,49,38,27,16,5
11,11,70,0.0003707841478871354,16,27,38,49,60,71,70,81,80,91,90,79,80,69,70,59,60,49,38,27,16,5
11,11,70,0.0014177040948625767,16,27,38,37,48,59,70,69,80,79,90,91,80,81,82,71,60,49,38,27,16,5
11,11,70,0.00038774812850942266,16,27,38,49,48,59,70,81,80,91,90,79,68,69,70,71,60,49,38,27,16,5
11,11,70,0.0007246043151519836,16,27,26,37,48,59,70,81,92,91,90,79,80,69,58,47,36,25,26,27,16,5
11,11,70,0.0003223156318234576,16,27,26,37,48,59,70,69,80,79,90,79,68,57,46,47,36,25,26,27,16,5
11,11,70,0.00039501840591897434,16,27,38,49,48,59,70,81,80,91,90,79,68,57,58,47,48,37,26,27,16,5
11,11,70,0.001456478907713519,16,27,38,49,48,59,70,69,68,79,90,91,80,69,70,71,60,49,38,27,16,5
11,11,70,0.0018490738878293091,16,27,38,49,48,59,70,81,92,91,90,79,80,69,70,71,60,49,38,27,16,5
11,11,70,0.00039501840591897434,16,27,38,49,60,59,70,81,80,91,90,79,80,69,58,47,36,37,26,27,16,5
11,11,70,0.0003707841478871354,16,27,38,37,48,59,70,81,80,79,90,79,68,57,58,59,48,49,38,27,16,5
11,11,70,0.0021980472034877894,16,27,26,37,48,59,70,69,80,91,90,91,92,93,82,71,60,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,48,59,70,81,92,91,90,79,80,69,58,47,48,49,38,27,16,5
11,11,70,0.0007246043151519836,16,27,38,37,48,59,70,69,80,91,90,79,68,57,58,59,48,37,38,27,16,5
11,11,70,0.0003635138704775837,16,27,26,37,48,59,70,69,68,79,90,79,68,57,58,47,48,37,26,27,16,5
11,11,70,0.00035866701887121596,16,27,38,49,60,59,70,81,92,91,90,79,68,57,46,35,36,37,26,27,16,5
11,11,70,0.00036109044467439984,16,27,38,37,48,59,70,69,80,91,90,79,68,69,70,71,60,49,38,27,16,5
11,11,70,0.0003707841478871354,16,27,38,49,48,59,70,69,68,79,90,79,68,57,58,47,48,37,38,27,16,5
11,11,70,0.00038774812850942266,16,27,26,37,48,59,70,81,80,79,90,79,68,69,70,59,60,49,38,27,16,5
11,11,70,0.0029129578154270374,16,27,38,49,60,59,70,81,80,91,90,91,92,93,82,71,60,49,38,27,16,5
11,11,70,0.0007415682957742708,16,27,26,37,48,59,70,81,80,91,90,79,68,57,58,59,48,49,38,27,16,5
11,11,70,0.002648804402879994,16,27,38,49,60,59,70,69,68,79,90,79,68,57,58,59,60,49,38,27,16,5
11,11,70,0.00039986525752534215,16,27,38,49,60,59,70,69,80,79,90,79,80,81,70,59,60,49,38,27,16,5
11,11,70,0.00035866701887121596,16,27,38,49,60,71,70,81,80,91,90,91,92,81,70,59,48,49,38,27,16,5
11,11,70,0.0030244354023734967,16,27,38,49,60,71,70,69,80,79,90,91,92,93,82,71,60,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,71,70,69,68,79,90,79,80,69,58,59,48,37,38,27,16,5
11,11,70,0.0007027934829233286,16,27,38,37,48,59,70,69,68,79,90,79,80,69,70,71,60,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,59,70,69,68,79,90,91,80,81,70,59,60,49,38,27,16,5
11,11,70,0.0007536854247901903,16,27,38,49,60,71,70,69,68,79,90,91,80,69,58,59,48,37,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,48,59,70,81,80,91,90,79,68,69,58,59,60,49,38,27,16,5
11,11,70,0.00036836072208395153,16,27,26,37,48,59,70,81,80,91,90,79,68,69,58,59,48,49,38,27,16,5
