MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21,Obs22
11,11,46,0.00022450184726335805,2,2,2,2,0,0,0,0,2,2,2,3,3,3,1,1,3,1,1,3,3,3,3
11,11,46,0.0016080482093745825,2,2,2,0,2,0,0,0,2,2,2,1,3,1,1,3,1,3,3,3,3,3,3
11,11,46,0.00013478927795929646,2,2,0,2,2,0,0,0,2,2,2,1,1,3,1,3,3,1,3,3,3,3,3
11,11,46,0.0002224078192329193,2,2,2,2,0,0,0,0,2,2,2,1,1,1,3,3,3,1,3,3,3,3,3
11,11,46,0.0009837523262998208,2,2,0,2,0,2,0,0,2,2,2,3,3,3,1,1,1,3,3,1,3,3,3
11,11,46,0.0030351283121186163,2,2,2,0,0,2,0,0,2,2,2,1,1,3,1,1,3,3,3,3,3,3,3
11,11,46,0.000315096112580236,2,2,2,0,0,2,0,0,2,2,2,1,3,1,1,3,3,3,3,3,1,3,3
11,11,46,0.0012472141161295,2,0,2,0,2,2,0,0,2,2,2,1,1,1,3,3,1,3,3,3,3,3,3
11,11,46,0.00333925833053945,2,2,0,2,2,0,0,0,2,2,2,3,1,1,1,1,3,3,3,3,3,3,3
11,11,46,0.002904416878218594,2,0,0,2,2,2,0,0,2,2,2,1,1,1,3,3,1,3,3,3,3,3,3
11,11,46,0.04744626668967919,3,0,3,0,3,3,3,3,3,2,2,2,2,2,2,1,1,2,2
11,11,46,0.00035537859916578215,2,2,0,2,2,0,0,0,2,2,2,3,3,3,1,1,3,3,1,1,3,3,3
11,11,46,0.0011139127001918315,2,2,0,0,2,2,0,0,2,2,2,3,3,3,1,1,3,3,1,1,3,3,3
11,11,46,0.010880073692152723,2,0,0,2,2,2,0,0,2,2,2,1,3,1,1,3,1,3,3,3,3,3,3
11,11,46,0.0003114040105265676,2,2,0,2,0,2,0,0,2,2,2,1,1,1,3,3,3,3,1,3,3,3,3
11,11,46,0.005802551672345871,2,0,0,2,2,2,0,0,2,2,2,1,1,3,1,3,1,3,3,3,3,3,3
11,11,46,9.059426531687793e-05,2,2,2,0,2,0,0,0,2,2,2,1,1,3,1,3,3,3,3,1,3,3,3
11,11,46,0.002005472687151543,2,0,0,2,2,2,0,0,2,2,2,1,3,1,1,3,3,3,3,3,1,3,3
11,11,46,0.00036204642526270557,2,0,2,2,0,2,0,0,2,2,2,3,1,1,1,3,3,3,3,1,3,3,3
11,11,46,0.000133466733940072,2,2,2,0,2,0,0,0,2,2,2,1,1,1,3,3,3,3,1,3,3,3,3
11,11,46,0.0007631078990925338,2,0,0,2,2,2,0,0,2,2,2,1,1,1,3,3,3,3,1,3,3,3,3
11,11,46,0.0003566460371842056,2,2,2,0,2,0,0,0,2,2,2,1,1,3,1,3,3,1,3,3,3,3,3
11,11,46,0.00039775511378176696,2,2,0,2,2,0,0,0,2,2,2,3,3,3,1,1,1,3,3,1,3,3,3
11,11,46,0.00156793104079144,2,2,0,0,2,2,0,0,2,2,2,3,3,3,1,1,1,3,3,1,3,3,3
11,11,46,0.0033001330699707243,2,0,2,0,2,2,0,0,2,2,2,3,3,3,1,1,1,3,1,3,3,3,3
11,11,46,0.00026968876792019496,2,2,0,2,2,0,0,0,2,2,2,3,1,1,1,3,3,3,3,3,1,3,3
11,11,46,0.0013390758194648013,2,2,0,2,2,0,0,0,2,2,2,3,3,3,1,1,1,1,3,3,3,3,3
11,11,46,0.0013332896893806941,2,2,2,0,0,2,0,0,2,2,2,3,1,1,1,3,3,1,3,3,3,3,3
11,11,46,0.0005325994977418645,2,0,2,2,0,2,0,0,2,2,2,3,3,3,1,1,3,1,3,1,3,3,3
11,11,46,0.0012488121901527295,2,2,0,0,2,2,0,0,2,2,2,3,3,3,1,1,3,3,1,3,1,3,3
11,11,46,0.000488349379098645,2,2,2,2,0,0,0,0,2,2,2,1,1,3,1,3,1,3,3,3,3,3,3
11,11,46,0.00642739861542864,2,2,0,2,0,2,0,0,2,2,2,1,3,1,1,1,3,3,3,3,3,3,3
11,11,46,0.006745966406059338,2,0,2,0,2,2,0,0,2,2,2,3,1,1,1,3,1,3,3,3,3,3,3
11,11,46,0.002682560118993685,2,2,0,2,0,2,0,0,2,2,2,3,3,3,1,1,1,1,3,3,3,3,3
11,11,46,0.0004481771045147009,2,0,2,2,0,2,0,0,2,2,2,3,1,1,1,3,3,3,3,3,1,3,3
11,11,46,0.001879279945317206,2,0,2,2,0,2,0,0,2,2,2,1,1,1,3,1,3,3,3,3,3,3,3
11,11,46,0.0005803764004363494,2,2,2,0,0,2,0,0,2,2,2,1,1,1,3,3,1,3,3,3,3,3,3
11,11,46,0.0004506017685499457,2,2,0,2,2,0,0,0,2,2,2,3,3,3,1,1,1,3,3,3,1,3,3
11,11,46,0.0016082686333777864,2,2,0,0,2,2,0,0,2,2,2,3,3,3,1,1,1,3,3,3,1,3,3
11,11,46,0.00018008641061773543,2,2,2,2,0,0,0,0,2,2,2,1,1,3,1,3,3,3,1,3,3,3,3
11,11,46,0.023971330772447258,2,0,0,2,2,2,0,0,2,2,2,1,3,1,1,1,3,3,3,3,3,3,3
11,11,46,0.0002704051459306083,2,2,0,2,2,0,0,0,2,2,2,1,3,1,1,3,3,3,3,1,3,3,3
11,11,46,0.0005378896738187625,2,2,0,0,2,2,0,0,2,2,2,1,3,1,1,3,3,3,3,1,3,3,3
11,11,46,0.0013379736994487807,2,0,2,2,0,2,0,0,2,2,2,3,3,3,1,1,1,3,1,3,3,3,3
11,11,46,0.000803225067675677,2,0,2,2,0,2,0,0,2,2,2,3,3,3,1,1,3,1,3,3,1,3,3
11,11,46,0.00017716579257528133,2,2,0,2,2,0,0,0,2,2,2,3,3,3,1,1,3,1,3,1,3,3,3
11,11,46,0.002318860513706949,2,2,0,0,2,2,0,0,2,2,2,1,3,1,1,3,3,1,3,3,3,3,3
11,11,46,0.00026638240787213376,2,0,2,2,0,2,0,0,2,2,2,1,1,1,3,3,3,3,1,3,3,3,3
11,11,46,0.00040381677386987924,2,2,2,0,2,0,0,0,2,2,2,1,1,1,3,1,3,3,3,3,3,3,3
11,11,46,0.002596649863744894,2,2,2,0,2,0,0,0,2,2,2,3,1,1,1,1,3,3,3,3,3,3,3
11,11,46,0.00017777195858409257,2,2,2,0,0,2,0,0,2,2,2,1,1,1,3,3,3,3,1,3,3,3,3
11,11,46,0.0016034193053072966,2,2,0,0,2,2,0,0,2,2,2,3,3,3,1,1,3,1,3,1,3,3,3
11,11,46,0.0011613589668815099,2,0,2,2,2,0,0,0,2,2,2,3,3,3,1,1,3,1,1,3,3,3,3
11,11,46,0.00040150232183623635,2,2,2,0,2,0,0,0,2,2,2,3,3,3,1,1,3,3,1,1,3,3,3
11,11,46,0.002672365508845496,2,0,2,2,0,2,0,0,2,2,2,1,3,1,1,3,1,3,3,3,3,3,3
11,11,46,0.0007131267563660081,2,0,2,2,2,0,0,0,2,2,2,3,3,3,1,1,3,3,3,1,1,3,3
11,11,46,0.002906290482245829,2,0,2,0,2,2,0,0,2,2,2,3,3,3,1,1,3,1,1,3,3,3,3
11,11,46,0.00058472977449963,2,0,2,0,2,2,0,0,2,2,2,1,1,1,3,3,3,1,3,3,3,3,3
11,11,46,0.005978835768908333,2,0,2,0,2,2,0,0,2,2,2,3,3,3,1,1,1,1,3,3,3,3,3
11,11,46,4.562776866324509e-05,2,2,2,0,0,2,0,0,2,2,2,1,1,1,3,3,3,3,3,1,3,3,3
11,11,46,0.0012909682807655104,2,2,0,2,2,0,0,0,2,2,2,1,1,3,1,1,3,3,3,3,3,3,3
11,11,46,0.0006704747117460181,2,2,2,2,0,0,0,0,2,2,2,1,3,1,1,3,3,1,3,3,3,3,3
11,11,46,0.000226926511298603,2,2,0,2,2,0,0,0,2,2,2,1,3,1,1,3,3,3,3,3,1,3,3
11,11,46,0.0006213201590315078,2,2,0,0,2,2,0,0,2,2,2,1,3,1,1,3,3,3,3,3,1,3,3
11,11,46,0.0027733748083137674,2,2,0,2,0,2,0,0,2,2,2,3,1,1,1,3,1,3,3,3,3,3,3
11,11,46,0.0003593462312234556,2,2,2,2,0,0,0,0,2,2,2,3,1,1,1,3,3,3,3,1,3,3,3
11,11,46,0.0011647755389311734,2,2,2,0,0,2,0,0,2,2,2,3,3,3,1,1,3,3,3,1,1,3,3
11,11,46,0.00035846453521063933,2,0,2,2,2,0,0,0,2,2,2,3,1,1,1,3,3,3,1,3,3,3,3
11,11,46,0.00031261634254419005,2,2,2,0,2,0,0,0,2,2,2,3,3,3,1,1,1,3,3,1,3,3,3
11,11,46,0.0005361813877939308,2,0,2,2,0,2,0,0,2,2,2,1,3,1,1,3,3,3,1,3,3,3,3
11,11,46,4.380927063681141e-05,2,0,2,2,2,0,0,0,2,2,2,1,1,1,3,3,3,3,3,3,1,3,3
11,11,46,0.005942686232382865,2,0,2,0,2,2,0,0,2,2,2,1,1,1,1,3,3,3,3,3,3,3,3
11,11,46,0.00026952344991779196,2,0,2,0,2,2,0,0,2,2,2,1,1,1,3,3,3,3,3,3,1,3,3
11,11,46,0.0018373993847084309,2,0,2,0,2,2,0,0,2,2,2,3,1,1,1,3,3,3,1,3,3,3,3
11,11,46,4.386437663761243e-05,2,0,2,2,0,2,0,0,2,2,2,1,1,3,1,3,3,3,3,1,3,3,3
11,11,46,0.02242814232601553,3,0,3,0,3,3,3,3,3,2,2,2,2,2,1,1,2,2,2
11,11,46,0.001791385874039578,2,2,2,0,2,0,0,0,2,2,2,3,3,3,1,1,1,1,3,3,3,3,3
11,11,46,0.0003992429758033946,2,2,2,0,2,0,0,0,2,2,2,3,3,3,1,1,3,3,1,3,1,3,3
11,11,46,0.00022466716526576113,2,0,2,2,2,0,0,0,2,2,2,1,1,1,3,3,3,1,3,3,3,3,3
11,11,46,0.00530891211717033,2,2,2,0,0,2,0,0,2,2,2,1,3,1,1,1,3,3,3,3,3,3,3
11,11,46,0.0007598015390444726,2,2,0,2,0,2,0,0,2,2,2,3,1,1,1,3,3,3,1,3,3,3,3
11,11,46,0.0012998403468944745,2,2,0,2,0,2,0,0,2,2,2,3,1,1,1,3,3,1,3,3,3,3,3
11,11,46,0.00013225440192244953,2,2,0,2,0,2,0,0,2,2,2,1,1,1,3,3,3,3,3,3,1,3,3
11,11,46,0.002187598019798917,2,2,2,2,0,0,0,0,2,2,2,1,1,1,1,3,3,3,3,3,3,3,3
11,11,46,0.000582139792461982,2,0,2,2,2,0,0,0,2,2,2,1,1,3,1,3,1,3,3,3,3,3,3
11,11,46,0.0009387858296461878,2,2,2,2,0,0,0,0,2,2,2,1,1,1,3,1,3,3,3,3,3,3,3
11,11,46,0.00031311229655139926,2,2,2,0,2,0,0,0,2,2,2,3,3,3,1,1,1,3,3,3,1,3,3
11,11,46,0.0011131963221814182,2,2,0,2,0,2,0,0,2,2,2,3,3,3,1,1,3,1,1,3,3,3,3
11,11,46,0.00022268334923692442,2,2,2,0,2,0,0,0,2,2,2,1,3,1,1,3,3,3,3,1,3,3,3
11,11,46,0.00013523012596570465,2,0,2,2,0,2,0,0,2,2,2,1,1,3,1,3,3,3,3,3,1,3,3
