MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20
11,11,70,0.0003320093350361939,3,3,3,3,3,0,0,0,3,3,2,2,2,2,1,2,2,1,1,2,2
11,11,70,0.0006640186700723878,3,3,0,3,3,3,0,0,3,3,2,2,2,1,1,1,2,2,2,2,2
11,11,70,0.0003877481285094235,3,3,3,3,0,3,3,0,3,0,1,1,2,2,2,1,2,2,2,2,2
11,11,70,0.00036109044467440065,3,3,3,0,3,3,0,0,3,3,1,1,2,2,2,2,2,1,2,2,2
11,11,70,0.0006930997797105946,3,3,3,0,3,3,3,0,3,0,2,2,2,1,1,2,2,1,2,2,2
11,11,70,0.0007027934829233302,3,0,3,3,3,3,0,3,3,0,1,2,1,2,1,2,2,2,2,2,2
11,11,70,0.00036109044467440065,3,3,3,3,0,3,0,0,3,3,2,1,2,2,2,1,1,2,2,2,2
11,11,70,0.0011196227210709603,3,3,3,3,0,3,0,3,0,3,1,1,2,1,2,2,2,2,2,2,2
11,11,70,0.00037078414788713627,3,3,0,3,3,3,3,0,0,3,2,2,1,2,2,1,1,2,2,2,2
11,11,70,0.00037078414788713627,3,3,3,0,3,3,0,3,0,3,2,1,2,2,1,2,1,2,2,2,2
11,11,70,0.0022562094227642085,3,0,3,3,3,3,3,0,3,0,1,2,1,1,2,2,2,2,2,2,2
11,11,70,0.0007342980183647208,3,3,3,0,3,3,3,0,3,0,2,1,1,2,1,2,2,2,2,2,2
11,11,70,0.00037078414788713627,3,3,0,3,3,3,0,3,3,0,1,2,2,1,2,1,2,2,2,2,2
11,11,70,0.0007633791280029275,3,3,3,0,3,3,3,3,0,0,2,1,2,2,2,2,2,1,1,2,2
11,11,70,0.00036109044467440065,3,3,3,3,0,3,0,0,3,3,2,2,1,1,2,2,2,2,1,2,2
11,11,70,0.000680982650694675,3,3,0,3,3,3,0,0,3,3,2,1,2,2,2,1,1,2,2,2,2
11,11,70,0.000399865257525343,3,3,0,3,3,3,3,0,3,0,2,2,2,2,1,1,1,2,2,2,2
11,11,70,0.0003586670188712167,3,3,3,0,3,3,0,3,3,0,2,2,2,1,1,2,1,2,2,2,2
11,11,70,0.00036109044467440065,3,3,3,3,3,0,3,0,3,0,1,2,2,1,2,2,1,2,2,2,2
11,11,70,0.0003586670188712167,3,3,3,3,3,0,0,0,3,3,2,2,1,2,2,2,1,2,1,2,2
11,11,70,0.00036109044467440065,3,3,3,3,3,0,0,0,3,3,2,1,2,2,1,2,2,2,1,2,2
11,11,70,0.0007876133860347666,3,0,3,3,3,3,0,3,0,3,1,1,2,2,2,2,2,1,2,2,2
11,11,70,0.002508245706295333,3,3,3,3,3,0,3,0,3,0,1,1,2,1,2,2,2,2,2,2,2
11,11,70,0.0011220461468741444,3,3,3,3,3,0,0,0,3,3,2,2,1,1,2,2,1,2,2,2,2
11,11,70,0.001812722500781555,3,0,3,3,3,3,0,3,3,0,1,2,2,1,1,2,2,2,2,2,2
11,11,70,0.0007318745925615369,3,3,0,3,3,3,0,3,3,0,1,1,2,2,1,2,2,2,2,2,2
11,11,70,0.0003320093350361939,3,3,3,3,0,3,3,0,3,0,2,1,2,2,1,1,2,2,2,2,2
11,11,70,0.0003586670188712167,3,3,3,3,0,3,3,0,0,3,1,2,1,2,2,2,2,2,1,2,2
11,11,70,0.0003586670188712167,3,3,3,0,3,3,3,3,0,0,2,2,1,2,1,2,1,2,2,2,2
11,11,70,0.0003877481285094235,3,3,0,3,3,3,0,3,3,0,1,1,2,2,2,2,1,2,2,2,2
11,11,70,0.0003829012769030557,3,0,3,3,3,3,3,0,0,3,2,2,2,2,1,1,1,2,2,2,2
11,11,70,0.0007512619989870082,3,3,3,3,0,3,0,3,0,3,2,2,1,1,2,2,2,1,2,2,2
11,11,70,0.0019169298103184627,3,3,3,3,3,0,0,3,3,0,1,1,2,1,2,2,2,2,2,2,2
11,11,70,0.0003320093350361939,3,3,0,3,3,3,3,0,3,0,2,1,1,1,2,2,2,2,2,2,2
11,11,70,0.00037563099949350403,3,3,3,3,3,0,3,3,0,0,2,1,2,1,2,2,1,2,2,2,2
11,11,70,0.0007052169087265141,3,3,0,3,3,3,3,3,0,0,2,1,2,1,2,1,2,2,2,2,2
11,11,70,0.0007027934829233302,3,3,3,0,3,3,3,3,0,0,2,1,1,2,1,2,2,2,2,2,2
11,11,70,0.00036351387047758453,3,3,3,3,0,3,3,3,0,0,1,2,2,2,2,1,2,1,2,2,2
11,11,70,0.001083271334023202,3,3,3,0,3,3,3,3,0,0,1,2,1,2,2,2,1,2,2,2,2
11,11,70,0.0007076403345296978,3,3,3,3,0,3,0,3,0,3,2,1,1,2,1,2,2,2,2,2,2
11,11,70,0.0007512619989870082,3,3,3,0,3,3,3,3,0,0,2,1,2,1,2,2,1,2,2,2,2
11,11,70,0.0007488385731838241,3,3,3,3,3,0,0,3,3,0,1,2,1,2,1,2,2,2,2,2,2
11,11,70,0.0007536854247901919,3,3,3,0,3,3,0,3,0,3,1,2,2,1,1,2,2,2,2,2,2
11,11,70,0.001810299074978371,3,3,3,3,0,3,3,0,0,3,1,1,2,1,2,2,2,2,2,2,2
11,11,70,0.00036351387047758453,3,3,3,3,0,3,0,3,3,0,1,2,2,2,2,2,2,1,1,2,2
11,11,70,0.0007318745925615369,3,3,3,3,3,0,0,0,3,3,1,2,2,2,2,1,2,2,1,2,2
11,11,70,0.0010711542050072824,3,3,0,3,3,3,0,3,0,3,2,1,1,2,2,1,2,2,2,2,2
11,11,70,0.0007221808893488013,3,3,3,3,0,3,3,3,0,0,2,1,2,1,2,1,2,2,2,2,2
11,11,70,0.003700571201461811,3,3,3,3,0,3,0,0,3,3,1,2,1,1,2,2,2,2,2,2,2
11,11,70,0.0014637491851230739,3,3,0,3,3,3,0,0,3,3,1,2,1,2,1,2,2,2,2,2,2
11,11,70,0.0003950184059189752,3,0,3,3,3,3,3,0,0,3,2,1,2,2,1,2,2,1,2,2,2
11,11,70,0.00037078414788713627,3,3,3,0,3,3,0,0,3,3,2,2,2,2,2,1,1,1,2,2,2
11,11,70,0.00036109044467440065,3,3,3,0,3,3,0,3,0,3,1,2,2,2,2,2,2,1,1,2,2
11,11,70,0.0003320093350361939,3,3,3,3,0,3,3,3,0,0,2,1,2,1,2,2,2,1,2,2,2
11,11,70,0.00037078414788713627,3,0,3,3,3,3,3,3,0,0,2,2,2,2,1,1,1,2,2,2,2
11,11,70,0.0007536854247901919,3,0,3,3,3,3,3,0,0,3,2,2,2,1,1,2,1,2,2,2,2
11,11,70,0.0003586670188712167,3,3,3,0,3,3,3,0,3,0,1,2,2,2,1,2,2,1,2,2,2
11,11,70,0.0007342980183647208,3,3,3,3,3,0,3,3,0,0,1,2,2,2,2,2,2,1,1,2,2
11,11,70,0.0003586670188712167,3,3,3,3,3,0,0,3,0,3,1,2,2,2,1,2,2,1,2,2,2
11,11,70,0.00037078414788713627,3,0,3,3,3,3,0,3,0,3,2,2,2,1,1,1,2,2,2,2,2
11,11,70,0.00036351387047758453,3,3,3,3,0,3,3,0,3,0,2,2,2,1,1,2,2,2,1,2,2
11,11,70,0.0003223156318234583,3,3,3,0,3,3,3,0,0,3,1,2,2,2,2,2,1,1,2,2,2
11,11,70,0.00036109044467440065,3,3,3,3,3,0,0,3,0,3,1,1,2,2,2,2,1,2,2,2,2
11,11,70,0.0014637491851230739,3,3,3,3,0,3,3,0,3,0,2,1,1,1,2,2,2,2,2,2,2
11,11,70,0.00037563099949350403,3,3,3,0,3,3,0,3,0,3,2,1,1,2,2,2,2,1,2,2,2
11,11,70,0.0003829012769030557,3,0,3,3,3,3,0,0,3,3,2,1,2,2,1,2,1,2,2,2,2
11,11,70,0.0003950184059189752,3,3,0,3,3,3,0,3,3,0,1,2,1,2,2,2,2,2,1,2,2
11,11,70,0.000399865257525343,3,0,3,3,3,3,0,3,3,0,1,2,2,1,2,2,1,2,2,2,2
11,11,70,0.0007052169087265141,3,3,3,3,0,3,3,3,0,0,2,1,2,2,2,2,2,1,1,2,2
11,11,70,0.0007173340377424334,3,3,0,3,3,3,3,3,0,0,2,2,1,1,2,2,1,2,2,2,2
11,11,70,0.001056613650188179,3,0,3,3,3,3,0,0,3,3,1,1,2,2,2,1,2,2,2,2,2
11,11,70,0.0003829012769030557,3,3,3,0,3,3,3,0,0,3,2,1,2,2,1,2,1,2,2,2,2
11,11,70,0.0006858295023010429,3,3,0,3,3,3,3,0,3,0,2,2,2,2,2,2,1,1,1,2,2
11,11,70,0.0003586670188712167,3,3,3,3,0,3,3,0,3,0,2,2,2,2,1,1,2,2,1,2,2
11,11,70,0.00036836072208395234,3,3,3,3,0,3,0,3,3,0,1,2,2,1,2,2,2,1,2,2,2
11,11,70,0.000729451166758353,3,0,3,3,3,3,3,0,3,0,1,2,1,2,2,2,2,2,1,2,2
11,11,70,0.00037078414788713627,3,0,3,3,3,3,0,0,3,3,2,2,2,2,2,1,2,1,1,2,2
11,11,70,0.000399865257525343,3,0,3,3,3,3,0,3,3,0,1,2,1,2,2,2,1,2,2,2,2
11,11,70,0.00036836072208395234,3,3,0,3,3,3,0,3,3,0,1,2,1,2,2,2,2,1,2,2,2
11,11,70,0.000399865257525343,3,3,3,3,0,3,3,0,0,3,2,1,2,1,1,2,2,2,2,2,2
11,11,70,0.0003320093350361939,3,3,3,3,3,0,3,0,3,0,2,2,2,1,2,1,1,2,2,2,2
11,11,70,0.0006930997797105946,3,0,3,3,3,3,3,3,0,0,2,2,2,1,2,1,1,2,2,2,2
11,11,70,0.00036351387047758453,3,3,3,0,3,3,0,3,3,0,2,2,2,1,2,2,2,1,1,2,2
11,11,70,0.0011171992952677767,3,3,0,3,3,3,0,3,3,0,2,1,1,1,2,2,2,2,2,2,2
11,11,70,0.00036351387047758453,3,3,0,3,3,3,3,0,0,3,2,1,1,2,2,1,2,2,2,2,2
11,11,70,0.00036109044467440065,3,3,0,3,3,3,3,3,0,0,2,2,2,2,2,1,1,1,2,2,2
11,11,70,0.0007633791280029275,3,0,3,3,3,3,3,3,0,0,2,1,2,1,2,1,2,2,2,2,2
11,11,70,0.00037078414788713627,3,3,3,3,0,3,0,0,3,3,2,1,2,2,1,2,2,1,2,2,2
