MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15
11,11,51,0.0003383274504754257,105,95,84,73,61,51,41,30,40,50,61,71,83,94,105,116
11,11,51,0.004893123873293842,105,95,84,74,63,51,41,30,40,50,62,72,83,94,105,116
11,11,51,0.0003534764407952209,105,94,84,74,62,51,41,30,40,50,60,72,84,94,105,116
11,11,51,0.000368625431115016,105,94,84,74,62,51,41,30,40,50,62,72,83,93,105,116
11,11,51,0.0007019032181505101,105,95,85,74,63,51,40,30,40,51,62,72,83,94,105,116
11,11,51,0.0003635757676750843,105,95,85,73,62,51,41,30,40,50,61,71,83,93,105,116
11,11,51,0.0003080294698358353,105,93,81,71,61,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.00027773148919624496,105,94,84,73,63,51,41,30,40,50,60,72,83,94,105,116
11,11,51,0.00041912206551433334,105,95,84,74,62,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.0010856776395853213,105,95,85,74,62,51,41,30,40,51,61,71,83,94,105,116
11,11,51,0.0003635757676750843,105,95,85,73,63,51,41,30,40,50,62,72,83,93,105,116
11,11,51,0.00032822812359556224,105,95,84,72,62,51,41,30,40,50,62,72,83,94,105,116
11,11,51,0.0019188721071740566,105,95,85,74,63,51,41,30,40,50,61,72,82,93,105,116
11,11,51,0.0003484267773552892,105,95,85,74,63,51,41,30,40,50,61,73,85,95,105,116
11,11,51,0.000368625431115016,105,95,84,74,63,51,40,30,40,51,61,72,82,94,105,116
11,11,51,0.00029288047951604013,105,93,83,73,63,51,41,30,40,51,61,72,83,94,105,116
11,11,51,0.0042013199820231965,105,94,84,74,63,51,41,30,40,50,61,71,83,94,105,116
11,11,51,0.0003080294698358353,105,93,83,73,63,51,41,30,40,50,61,71,83,94,105,116
11,11,51,0.000368625431115016,105,94,84,73,63,51,41,30,40,50,61,73,83,94,105,116
11,11,51,0.0004090227386344699,105,93,82,71,61,51,41,30,40,50,61,73,83,94,105,116
11,11,51,0.0024440371049269556,105,95,85,74,63,51,41,30,40,50,61,71,83,93,105,116
11,11,51,0.00042417172895426505,105,94,83,73,63,51,41,30,40,50,61,71,83,93,105,116
11,11,51,0.00037872475799487947,105,95,85,73,61,51,41,30,40,50,62,72,83,94,105,116
11,11,51,0.00041407240207440163,105,95,85,73,63,51,41,30,40,50,61,73,83,93,105,116
11,11,51,0.0007725985063095542,105,95,85,74,63,51,41,30,40,51,62,72,83,93,105,116
11,11,51,0.00027268182575631325,105,95,85,73,61,51,41,30,40,50,61,71,83,94,105,116
11,11,51,0.0012220185524634778,105,95,85,74,63,51,40,30,40,51,61,72,83,94,105,116
11,11,51,0.0016764882620573334,105,95,85,74,62,51,41,30,40,50,61,72,84,94,105,116
11,11,51,0.0015300480222993132,105,95,85,74,63,51,41,30,40,51,61,72,83,93,105,116
11,11,51,0.0004090227386344699,105,95,84,72,62,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.00030297980639590354,105,94,82,71,61,51,41,30,40,50,61,71,83,94,105,116
11,11,51,0.000368625431115016,105,95,85,74,63,51,41,30,40,51,62,73,83,94,105,116
11,11,51,0.0030903940252382167,105,95,84,74,63,51,41,30,40,50,61,71,83,94,105,116
11,11,51,0.0006514065837511927,105,95,85,74,62,51,41,30,40,50,62,73,83,94,105,116
11,11,51,0.002418788787727297,105,94,84,74,63,51,41,30,40,50,61,72,83,93,105,116
11,11,51,0.0003736750945549477,105,95,84,74,63,51,40,30,40,51,61,72,83,94,105,116
11,11,51,0.00438815752930067,105,95,85,74,63,51,41,30,41,52,62,72,83,94,105,116
11,11,51,0.00038377442143481123,105,93,82,71,61,51,41,30,41,51,61,71,83,94,105,116
11,11,51,0.00041407240207440163,105,94,84,74,63,51,41,30,40,50,61,73,85,95,105,116
11,11,51,0.002943953785480196,105,95,85,73,63,51,41,30,40,50,62,72,83,94,105,116
11,11,51,0.0004090227386344699,105,95,84,74,62,51,41,30,40,51,62,72,83,94,105,116
11,11,51,0.017593027424722144,105,95,85,74,63,51,41,30,40,50,61,72,83,93,105,116
11,11,51,0.0037165522917897514,105,95,85,73,62,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.0006665555740709879,105,95,85,73,63,51,41,30,41,52,62,72,83,94,105,116
11,11,51,0.0007624991794296906,105,95,85,74,63,51,41,30,41,52,62,72,82,94,105,116
11,11,51,0.0013078628309423175,105,95,85,74,63,51,40,30,40,50,61,72,83,93,105,116
11,11,51,0.0010957769664651847,105,95,85,73,63,51,41,30,40,50,61,72,83,93,105,116
11,11,51,0.00042417172895426505,105,94,82,72,62,51,41,30,40,50,62,72,83,94,105,116
11,11,51,0.0013129124943822487,105,95,83,73,63,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.000722101871910237,105,95,85,73,63,51,41,30,40,51,61,71,83,94,105,116
11,11,51,0.00037872475799487947,105,94,84,73,63,51,40,30,40,50,61,72,83,94,105,116
11,11,51,0.000646356920311261,105,95,85,73,63,51,41,30,40,52,62,72,83,94,105,116
11,11,51,0.0003383274504754257,105,94,84,73,62,51,41,30,40,50,61,72,84,94,105,116
11,11,51,0.0007927971600692811,105,95,85,74,63,51,41,30,40,50,60,72,83,93,105,116
11,11,51,0.00032822812359556224,105,95,83,72,61,51,41,30,41,51,61,71,83,94,105,116
11,11,51,0.0008079461503890763,105,95,84,74,63,51,41,30,41,51,61,72,82,94,105,116
11,11,51,0.000368625431115016,105,95,85,74,63,51,41,30,40,50,61,71,82,93,105,116
11,11,51,0.00034337711391535747,105,93,83,72,62,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.0004090227386344699,105,95,85,73,63,51,40,30,41,51,61,71,83,94,105,116
11,11,51,0.0003484267773552892,105,95,85,74,63,51,41,30,40,50,62,72,84,95,105,116
11,11,51,0.0008331944675887349,105,94,84,74,62,51,40,30,40,50,61,72,83,94,105,116
11,11,51,0.27119722470497437,105,95,85,74,63,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.0014442037438204738,105,95,85,74,63,51,41,30,40,50,62,73,83,94,105,116
11,11,51,0.00038377442143481123,105,95,84,74,63,51,41,30,40,50,61,71,83,93,105,116
11,11,51,0.0007877474966293494,105,95,85,74,63,51,41,30,41,52,62,72,83,93,105,116
11,11,51,0.0014593527341402687,105,95,85,74,63,51,40,30,40,50,62,72,83,94,105,116
11,11,51,0.017603126751601993,105,95,85,74,63,51,41,30,40,50,61,72,83,95,105,116
11,11,51,0.00038377442143481123,105,95,85,74,63,51,41,30,40,50,62,73,83,95,105,116
