MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14
11,11,51,0.0024743350855665463,5,5,2,2,4,5,2,6,6,3,6,7,7,6,3
11,11,51,0.0005958602859119438,2,5,5,2,4,5,2,6,6,7,6,7,6,3,3
11,11,51,0.0015249983588593815,5,5,2,2,4,2,5,6,6,6,7,3,3,3,3
11,11,51,0.0003383274504754257,5,2,2,5,4,2,5,6,3,6,3,3,3,3,3
11,11,51,0.00041407240207440163,2,5,5,2,4,5,2,6,6,3,7,7,6,6,3
11,11,51,0.0024440371049269556,5,5,2,2,4,5,2,6,6,3,6,7,6,7,3
11,11,51,0.00037872475799487947,5,5,4,5,4,5,2,6,6,6,7,3,6,7,3
11,11,51,0.0003635757676750843,4,5,5,5,4,5,2,6,6,3,3,3,6,7,3
11,11,51,0.00037872475799487947,2,5,5,2,4,5,2,6,6,6,7,3,7,6,3
11,11,51,0.00038377442143481123,5,5,2,2,4,5,2,6,6,7,3,6,7,6,3
11,11,51,0.001974418405013305,5,2,5,2,4,5,2,3,6,6,3,3,3,3,3
11,11,51,0.0003736750945549477,5,5,4,5,4,5,2,3,6,3,6,3,3,3,3
11,11,51,0.00027773148919624496,2,5,2,5,4,5,2,6,6,6,7,3,3,3,3
11,11,51,0.0013078628309423175,5,5,2,2,4,2,5,6,6,3,3,3,6,7,3
11,11,51,0.004898173536733775,5,5,2,4,2,5,2,6,3,6,3,3,3,3,3
11,11,51,0.0003484267773552892,5,5,2,2,4,2,5,6,6,6,3,7,3,3,3
11,11,51,0.0003080294698358353,5,5,2,2,4,5,2,6,6,7,3,6,6,7,3
11,11,51,0.00035852610423515254,4,5,5,5,4,5,2,6,7,6,6,3,3,3,3
11,11,51,0.000368625431115016,2,5,2,5,4,5,2,6,6,3,7,6,3,3,3
11,11,51,0.00038377442143481123,2,5,5,4,2,5,2,6,6,3,3,7,6,3,3
11,11,51,0.0033428771972348033,5,2,5,2,4,5,2,6,3,6,3,3,3,3,3
11,11,51,0.00034337711391535747,5,5,2,4,2,5,2,6,6,7,6,3,7,6,3
11,11,51,0.00027773148919624496,5,2,5,4,2,5,2,6,6,3,3,7,6,3,3
11,11,51,0.00041407240207440163,5,5,2,4,2,5,2,3,3,6,6,3,3,3,3
11,11,51,0.0003635757676750843,5,5,4,5,4,5,2,6,6,7,6,3,6,7,3
11,11,51,0.0003080294698358353,5,2,5,2,4,5,2,6,6,7,6,3,7,6,3
11,11,51,0.0003383274504754257,5,2,2,4,5,5,2,6,6,3,6,7,3,3,3
11,11,51,0.03008589477511323,5,5,4,5,4,5,2,6,6,3,3,3,3,3,3
11,11,51,0.0007927971600692811,5,5,2,2,4,5,2,6,6,6,7,3,6,7,3
11,11,51,0.00035852610423515254,5,5,2,2,4,5,2,6,3,3,6,6,3,7,3
11,11,51,0.030590861119106413,2,5,5,2,4,5,2,6,6,3,3,3,3,3,3
11,11,51,0.00038377442143481123,5,2,2,5,4,5,2,6,6,3,3,3,7,6,3
11,11,51,0.00037872475799487947,5,5,4,4,5,5,2,6,6,3,3,6,7,3,3
11,11,51,0.0012220185524634778,5,5,2,2,4,2,5,6,3,6,3,3,3,3,3
11,11,51,0.0003938737483146747,5,2,5,2,4,5,2,6,6,3,3,6,3,7,3
11,11,51,0.00041912206551433334,4,5,5,2,2,5,2,6,6,3,7,6,3,3,3
11,11,51,0.27119722470497437,5,5,2,2,4,5,2,6,6,3,3,3,3,3,3
