trial_num,map,num_agents,wrong_objective,unique_id,wrong_attempts
11,P1_1,0.96,0,XFlfbQE,0
12,P2_2,0.98,0,XFlfbQE,0
13,UN_0,0.52,0,XFlfbQE,0
14,P1_0,0.71,0,XFlfbQE,0
15,UN_1,0.51,0,XFlfbQE,0
1,P2_1,0.51,0,xo6HK7A,0
2,UN_2,0.19,0,xo6HK7A,0
3,P2_2,0.79,0,xo6HK7A,0
4,P1_1,0.86,0,xo6HK7A,0
5,D2_2,0.72,0,xo6HK7A,0
6,D2_0,0.71,0,xo6HK7A,0
7,D2_1,0.68,0,xo6HK7A,0
8,D1_2,0.22,0,xo6HK7A,0
9,P1_0,0.51,0,xo6HK7A,0
10,D1_0,0.36,0,xo6HK7A,0
11,D1_1,0.4,0,xo6HK7A,0
12,UN_1,0.34,0,xo6HK7A,0
13,P2_0,0.51,0,xo6HK7A,0
14,P1_2,0.74,0,xo6HK7A,0
15,UN_0,0.45,0,xo6HK7A,0
1,D2_0,0.61,1,QMhQ5pc,1
2,D2_2,0.5,3,QMhQ5pc,1
3,P2_2,0.41,2,QMhQ5pc,1
4,UN_2,0.51,0,QMhQ5pc,1
5,D1_1,0.48,2,QMhQ5pc,1
6,D2_1,0.44,0,QMhQ5pc,1
7,D1_2,0.55,0,QMhQ5pc,1
8,UN_1,0.55,0,QMhQ5pc,1
9,P1_1,0.49,1,QMhQ5pc,1
10,P1_0,0.63,1,QMhQ5pc,1
11,P1_2,0.55,2,QMhQ5pc,1
12,P2_1,0.48,1,QMhQ5pc,1
13,P2_0,0.51,2,QMhQ5pc,1
14,D1_0,0.47,0,QMhQ5pc,1
15,UN_0,0.53,0,QMhQ5pc,1
1,D2_1,0.76,0,mIgtI4I,1
2,UN_1,0.23,0,mIgtI4I,1
3,UN_0,0.11,0,mIgtI4I,1
4,D1_2,0.65,0,mIgtI4I,1
5,P1_2,0.68,0,mIgtI4I,1
6,D2_2,0.78,0,mIgtI4I,1
7,P2_0,0.35,0,mIgtI4I,1
8,D1_1,0.79,0,mIgtI4I,1
9,UN_2,0.84,0,mIgtI4I,1
10,P2_2,0.88,0,mIgtI4I,1
11,D2_0,0.84,0,mIgtI4I,1
12,D1_0,0.24,0,mIgtI4I,1
13,P1_1,0.23,0,mIgtI4I,1
