1,2,3,trial_num,map,A,B,C,wrong_objective,unique_id,wrong_attempts,age
-1,-1,-1,15,ND_UN_0,0.37,0.36,0.61,0,XP7Mbjm,1,32
0.84,0.52,0.05,16,PX_UN_0,0.49,0.5,0.49,3,XP7Mbjm,1,32
0.92,0.63,0.03,17,NX_UN_0,0.6,0.54,0.51,0,XP7Mbjm,1,32
-1,-1,-1,18,ND_DX_0,0.96,0.13,0.04,0,XP7Mbjm,1,32
-1,-1,-1,19,ND_NX_0,0.51,0.02,0.7,0,XP7Mbjm,1,32
-1,-1,-1,20,ND_NX_1,0.5,0.9,0.07,0,XP7Mbjm,1,32
0.85,0.33,-1,21,DX_PX_0,0.03,0.84,0.01,0,XP7Mbjm,1,32
0.28,0.24,0.76,22,PX_DX_0,0.03,0.06,0.89,0,XP7Mbjm,1,32
0.47,0.51,-1,23,UN_DX_0,0.03,0.03,0.97,0,XP7Mbjm,1,32
-1,-1,-1,1,ND_PX_1,0.49,0.51,0.01,0,TLtiiqp,0,45
0.5,0.5,-1,2,DX_DX_0,0,0,1,0,TLtiiqp,0,45
-1,-1,-1,3,ND_PX_0,0.47,0.47,0,0,TLtiiqp,0,45
0.49,0.47,-1,4,DX_PX_0,0.46,0.46,0,0,TLtiiqp,0,45
0,0,1,5,PX_DX_0,0,0,1,0,TLtiiqp,0,45
-1,-1,-1,6,ND_DX_1,0.14,0.85,0,0,TLtiiqp,0,45
0.51,0.51,-1,7,UN_UN_0,0.52,0.51,0.51,0,TLtiiqp,0,45
1,0,-1,8,UN_NX_0,0,0,1,0,TLtiiqp,0,45
0.45,0.45,-1,9,UN_PX_0,0.47,0,0.47,0,TLtiiqp,0,45
-1,-1,-1,10,ND_NX_0,0.47,0,0.48,0,TLtiiqp,0,45
-1,-1,-1,11,ND_DX_0,1,0,0,0,TLtiiqp,0,45
0.49,0.49,-1,12,UN_DX_0,0,0,1,0,TLtiiqp,0,45
0.5,0.5,0,13,PX_NX_0,0.47,0.46,0,0,TLtiiqp,0,45
-1,-1,-1,14,ND_NX_1,0,1,0,0,TLtiiqp,0,45
0.44,0.45,0.46,15,NX_PX_0,0.44,0,0.43,0,TLtiiqp,0,45
0.45,0.45,0.47,16,NX_NX_0,0.45,0.45,0.45,0,TLtiiqp,0,45
0.48,0.48,-1,17,DX_NX_0,0.46,0,0.47,0,TLtiiqp,0,45
0.46,0.46,0,18,NX_UN_0,0.46,0.46,0.46,0,TLtiiqp,0,45
1,0,-1,19,DX_UN_0,0.51,0.5,0.51,0,TLtiiqp,0,45
0.46,0.46,0.46,20,PX_PX_0,0.49,0,0.47,0,TLtiiqp,0,45
0.49,0.49,0,21,PX_UN_0,0.49,0,0.49,3,TLtiiqp,0,45
0.47,0.47,0.02,22,NX_DX_0,0,0,1,0,TLtiiqp,0,45
-1,-1,-1,23,ND_UN_0,0.47,0.47,0.47,0,TLtiiqp,0,45
0,0.99,-1,1,DX_PX_0,0,0.99,0,0,h6xvUes,0,40
1,0,0,2,PX_UN_0,1,0,0,4,h6xvUes,0,40
1,0,-1,3,DX_NX_0,0.42,0,0.45,4,h6xvUes,0,40
1,0,-1,4,DX_DX_0,0,0,1,0,h6xvUes,0,40
-1,-1,-1,5,ND_DX_0,1,0.01,0.02,0,h6xvUes,0,40
0.44,0.44,-1,6,UN_PX_0,0.48,0,0.48,0,h6xvUes,0,40
-1,-1,-1,7,ND_UN_0,0.47,0.45,0.45,0,h6xvUes,0,40
0.43,0.43,0.03,8,PX_PX_0,0.42,0,0.43,0,h6xvUes,0,40
0.49,0.45,-1,9,UN_UN_0,0.43,0.42,0.46,0,h6xvUes,0,40
0.03,0.42,0.44,10,NX_NX_0,0.45,0.01,0.44,0,h6xvUes,0,40
-1,-1,-1,11,ND_DX_1,1,0,0,0,h6xvUes,0,40
0.43,0.44,0,12,NX_PX_0,0.44,0,0.46,0,h6xvUes,0,40
0.43,0.45,0,13,PX_NX_0,0.4,0.42,0.01,0,h6xvUes,0,40
0.45,0,0.45,14,PX_DX_0,0,0,1,0,h6xvUes,0,40
-1,-1,-1,15,ND_NX_0,0.44,0,0.45,0,h6xvUes,0,40
0.48,0.46,0,16,NX_DX_0,0,0,1,0,h6xvUes,0,40
0.43,0.48,-1,17,UN_DX_0,0,0,0.96,0,h6xvUes,0,40
0.44,0.45,0,18,NX_UN_0,0.43,0.46,0.44,0,h6xvUes,0,40
-1,-1,-1,19,ND_PX_0,1,0,0,0,h6xvUes,0,40
1,0,-1,20,DX_UN_0,0.48,0.43,0.48,0,h6xvUes,0,40
-1,-1,-1,21,ND_PX_1,0.45,0.44,0,0,h6xvUes,0,40
-1,-1,-1,22,ND_NX_1,1,0,0,0,h6xvUes,0,40
0.46,0.43,-1,23,UN_NX_0,0,0.48,0.44,0,h6xvUes,0,40
0.47,0.47,0,1,PX_NX_0,0.47,0.47,0,0,Yycineu,1,38
0.51,0.5,0,2,NX_PX_0,1,0,0,0,Yycineu,1,38
0.48,0.47,-1,3,UN_NX_0,0,0.47,0.47,0,Yycineu,1,38
-1,-1,-1,4,ND_DX_1,1,0,0,0,Yycineu,1,38
0.49,0.5,-1,5,UN_UN_0,0.47,0.48,0.48,0,Yycineu,1,38
-1,-1,-1,6,ND_PX_1,0.49,0.5,0,0,Yycineu,1,38
0,1,0,7,PX_PX_0,0.49,0,0.51,0,Yycineu,1,38
0.5,0.49,-1,8,UN_PX_0,0.49,0,0.48,0,Yycineu,1,38
0.49,0.49,0,9,PX_UN_0,0.36,0.37,0.38,1,Yycineu,1,38
-1,-1,-1,10,ND_PX_0,0.47,0,0.47,0,Yycineu,1,38
0.53,0,0.53,11,PX_DX_0,0,0,1,0,Yycineu,1,38
1,0,-1,12,DX_DX_0,0,0,1,0,Yycineu,1,38
0,0,1,13,NX_NX_0,1,0,0,0,Yycineu,1,38
1,0,-1,14,DX_UN_0,0.32,0.33,0.3,0,Yycineu,1,38
-1,-1,-1,15,ND_UN_0,0.36,0.34,0.35,0,Yycineu,1,38
1,0,-1,16,DX_NX_0,0.47,0,0.49,0,Yycineu,1,38
-1,-1,-1,17,ND_DX_0,1,0,0,0,Yycineu,1,38
0.48,0.48,0,18,NX_UN_0,0.32,0.32,0.34,0,Yycineu,1,38
1,0,-1,19,UN_DX_0,0,0,1,0,Yycineu,1,38
0,1,-1,20,DX_PX_0,0.47,0.47,0,0,Yycineu,1,38
0.47,0.47,0,21,NX_DX_0,0,0,1,0,Yycineu,1,38
-1,-1,-1,22,ND_NX_0,0.47,0,0.48,0,Yycineu,1,38
-1,-1,-1,23,ND_NX_1,0.46,0,0.46,0,Yycineu,1,38
0.52,0.71,0.25,1,PX_PX_0,0.14,0.02,0.87,0,ImtocWB,1,56
0.53,0.51,0.03,2,NX_UN_0,0.48,0.51,0.5,0,ImtocWB,1,56
-1,-1,-1,3,ND_NX_1,0.79,0.06,0.22,0,ImtocWB,1,56
0.48,0.47,-1,4,UN_PX_0,0.96,0.03,0.02,0,ImtocWB,1,56
0.51,0.51,0.03,5,PX_NX_0,0.52,0.51,0.52,0,ImtocWB,1,56
0.45,0.44,-1,6,UN_DX_0,0.03,0.01,0.95,0,ImtocWB,1,56
-1,-1,-1,7,ND_PX_0,0.96,0.04,0.05,0,ImtocWB,1,56
0.02,0.03,0.94,8,PX_DX_0,0.03,0.02,0.97,0,ImtocWB,1,56
0.02,0.94,-1,9,DX_PX_0,0.5,0.52,0.04,0,ImtocWB,1,56
0.05,0.95,-1,10,DX_DX_0,0.03,0.03,0.96,0,ImtocWB,1,56
-1,-1,-1,11,ND_NX_0,0.44,0.05,0.46,0,ImtocWB,1,56
-1,-1,-1,12,ND_PX_1,0.49,0.45,0.02,0,ImtocWB,1,56
0.48,0.47,0,13,NX_PX_0,0.57,0.48,0.06,1,ImtocWB,1,56
-1,-1,-1,14,ND_UN_0,0.48,0.49,0.48,0,ImtocWB,1,56
0.02,0.94,0.04,15,NX_NX_0,0.04,0.03,0.99,0,ImtocWB,1,56
1,0.04,-1,16,DX_NX_0,0.46,0.05,0.48,0,ImtocWB,1,56
0.51,0.68,-1,17,UN_NX_0,0.03,0.5,0.52,0,ImtocWB,1,56
-1,-1,-1,18,ND_DX_1,0.94,0.02,0.01,0,ImtocWB,1,56
-1,-1,-1,19,ND_DX_0,0.94,0.03,0.04,0,ImtocWB,1,56
0.44,0.45,0.02,20,NX_DX_0,0.03,0.02,0.95,0,ImtocWB,1,56
0.96,0.03,-1,21,DX_UN_0,0.49,0.49,0.5,0,ImtocWB,1,56
0.93,0.02,0.03,22,PX_UN_0,0.47,0.49,0.51,0,ImtocWB,1,56
